銘柄コード,銘柄名,日付,始値,高値,安値,終値,出来高
1001,レンジ機械,2026-06-29,2501.3,2547.3,2449.9,2508.9,772644
1001,レンジ機械,2026-06-30,2500.4,2550.3,2452.1,2511.4,1023587
1001,レンジ機械,2026-07-01,2511.8,2587.1,2470.1,2517.2,973459
1001,レンジ機械,2026-07-02,2515.9,2591.6,2479.7,2524.9,1070432
1001,レンジ機械,2026-07-03,2527.8,2593.6,2461.9,2530.9,1034135
1001,レンジ機械,2026-07-06,2528.9,2580.2,2466.3,2516.7,1206738
1001,レンジ機械,2026-07-07,2525.4,2594.1,2473.4,2534.3,1185358
1001,レンジ機械,2026-07-08,2542.6,2608.2,2503.5,2556.1,940954
1001,レンジ機械,2026-07-09,2558.5,2616.2,2510.5,2571.6,884515
1001,レンジ機械,2026-07-10,2572.2,2617.8,2513.6,2564.5,926162
1001,レンジ機械,2026-07-13,2560.9,2616.9,2526.3,2570.0,994432
1001,レンジ機械,2026-07-14,2563.4,2636.2,2496.9,2573.1,843898
1001,レンジ機械,2026-07-15,2570.9,2633.8,2530.1,2565.8,909949
1001,レンジ機械,2026-07-16,2575.4,2638.8,2544.1,2582.8,928424
1001,レンジ機械,2026-07-17,2587.7,2656.1,2521.6,2577.7,980697
1001,レンジ機械,2026-07-20,2587.3,2639.5,2531.8,2583.6,727161
1001,レンジ機械,2026-07-21,2590.6,2641.4,2529.1,2580.4,861762
1001,レンジ機械,2026-07-22,2575.0,2626.2,2508.8,2578.3,775766
1001,レンジ機械,2026-07-23,2587.2,2629.4,2531.6,2591.4,1013835
1001,レンジ機械,2026-07-24,2599.6,2669.9,2562.4,2613.9,1030941
1001,レンジ機械,2026-07-27,2608.3,2648.8,2544.2,2597.9,765630
1001,レンジ機械,2026-07-28,2598.1,2646.0,2515.7,2589.9,771980
1001,レンジ機械,2026-07-29,2590.1,2642.1,2527.6,2600.1,1055436
1001,レンジ機械,2026-07-30,2606.9,2656.7,2537.2,2592.4,1133813
1001,レンジ機械,2026-07-31,2594.8,2689.9,2550.0,2608.5,768318
1001,レンジ機械,2026-08-03,2615.6,2680.0,2542.6,2615.4,912074
