コード,日付,始値,高値,安値,引値,売買高
1001,20260629,"2,501.3","2,547.3","2,449.9","2,508.9","772,644"
1001,20260630,"2,500.4","2,550.3","2,452.1","2,511.4","1,023,587"
1001,20260701,"2,511.8","2,587.1","2,470.1","2,517.2","973,459"
1001,20260702,"2,515.9","2,591.6","2,479.7","2,524.9","1,070,432"
1001,20260703,"2,527.8","2,593.6","2,461.9","2,530.9","1,034,135"
1001,20260706,"2,528.9","2,580.2","2,466.3","2,516.7","1,206,738"
1001,20260707,"2,525.4","2,594.1","2,473.4","2,534.3","1,185,358"
1001,20260708,"2,542.6","2,608.2","2,503.5","2,556.1","940,954"
1001,20260709,"2,558.5","2,616.2","2,510.5","2,571.6","884,515"
1001,20260710,"2,572.2","2,617.8","2,513.6","2,564.5","926,162"
1001,20260713,"2,560.9","2,616.9","2,526.3","2,570.0","994,432"
1001,20260714,"2,563.4","2,636.2","2,496.9","2,573.1","843,898"
1001,20260715,"2,570.9","2,633.8","2,530.1","2,565.8","909,949"
1001,20260716,"2,575.4","2,638.8","2,544.1","2,582.8","928,424"
1001,20260717,"2,587.7","2,656.1","2,521.6","2,577.7","980,697"
1001,20260720,"2,587.3","2,639.5","2,531.8","2,583.6","727,161"
1001,20260721,"2,590.6","2,641.4","2,529.1","2,580.4","861,762"
1001,20260722,"2,575.0","2,626.2","2,508.8","2,578.3","775,766"
1001,20260723,"2,587.2","2,629.4","2,531.6","2,591.4","1,013,835"
1001,20260724,"2,599.6","2,669.9","2,562.4","2,613.9","1,030,941"
1001,20260727,"2,608.3","2,648.8","2,544.2","2,597.9","765,630"
1001,20260728,"2,598.1","2,646.0","2,515.7","2,589.9","771,980"
1001,20260729,"2,590.1","2,642.1","2,527.6","2,600.1","1,055,436"
1001,20260730,"2,606.9","2,656.7","2,537.2","2,592.4","1,133,813"
1001,20260731,"2,594.8","2,689.9","2,550.0","2,608.5","768,318"
1001,20260803,"2,615.6","2,680.0","2,542.6","2,615.4","912,074"
1001,20260804,"2,621.1","2,679.4","2,579.6","2,634.8","1,076,093"
1001,20260805,"2,632.5","2,693.7","2,571.2","2,646.2","1,167,952"
1001,20260806,"2,654.9","2,696.3","2,570.3","2,640.7","892,680"
1001,20260807,"2,632.2","2,689.1","2,584.4","2,625.4","929,080"
1001,20260810,"2,617.3","2,698.9","2,570.9","2,627.2","1,203,657"
1001,20260811,"2,617.2","2,690.8","2,549.2","2,625.4","793,119"
1001,20260812,"2,635.5","2,688.3","2,588.8","2,621.3","1,017,069"
